date;Average Hourly Earnings of Production and Nonsupervisory Employees, Total Private;Average Hourly Earnings of Production and Nonsupervisory Employees, Goods-Producing;Average Hourly Earnings of Production and Nonsupervisory Employees, Private Service-Providing;Average Weekly Hours of All Employees, Total Private;Average Weekly Hours of All Employees, Goods-Producing;Average Weekly Hours of All Employees, Private Service-Providing;All Employees, Total Nonfarm;All Employees, Total Private;All Employees, Goods-Producing;All Employees, Private Service-Providing;All Employees, Government
1996-09-01;12,13;13,48;11,67;;;;120402;100835;23497;77338;19567
1996-10-01;12,15;13,48;11,71;;;;120663;101109;23546;77563;19554
1996-11-01;12,2;13,52;11,76;;;;120949;101384;23584;77800;19565
1996-12-01;12,24;13,59;11,78;;;;121145;101574;23599;77975;19571
1997-01-01;12,29;13,64;11,84;;;;121363;101770;23618;78152;19593
1997-02-01;12,31;13,67;11,86;;;;121675;102077;23686;78391;19598
1997-03-01;12,35;13,7;11,9;;;;121989;102381;23739;78642;19608
1997-04-01;12,38;13,71;11,94;;;;122284;102681;23765;78916;19603
1997-05-01;12,43;13,76;11,99;;;;122551;102950;23809;79141;19601
1997-06-01;12,46;13,78;12,01;;;;122816;103156;23834;79322;19660
1997-07-01;12,5;13,79;12,07;;;;123112;103426;23862;79564;19686
1997-08-01;12,57;13,86;12,14;;;;123092;103475;23952;79523;19617
1997-09-01;12,6;13,88;12,17;;;;123577;103898;23996;79902;19679
1997-10-01;12,66;13,98;12,23;;;;123923;104185;24053;80132;19738
1997-11-01;12,71;14,01;12,27;;;;124230;104469;24112;80357;19761
1997-12-01;12,75;14,07;12,31;;;;124551;104785;24185;80600;19766
1998-01-01;12,79;14,06;12,37;;;;124813;105043;24262;80781;19770
1998-02-01;12,83;14,12;12,4;;;;125018;105232;24283;80949;19786
1998-03-01;12,87;14,15;12,45;;;;125164;105372;24264;81108;19792
1998-04-01;12,92;14,15;12,51;;;;125445;105629;24340;81289;19816
1998-05-01;12,97;14,2;12,56;;;;125846;105971;24361;81610;19875
1998-06-01;12,99;14,19;12,6;;;;126077;106198;24387;81811;19879
1998-07-01;13,0;14,17;12,63;;;;126209;106279;24237;82042;19930
1998-08-01;13,07;14,28;12,68;;;;126547;106588;24420;82168;19959
1998-09-01;13,11;14,29;12,72;;;;126745;106760;24419;82341;19985
1998-10-01;13,14;14,35;12,75;;;;126950;106949;24406;82543;20001
1998-11-01;13,17;14,37;12,78;;;;127225;107181;24394;82787;20044
1998-12-01;13,21;14,41;12,82;;;;127598;107519;24454;83065;20079
1999-01-01;13,27;14,42;12,9;;;;127704;107620;24401;83219;20084
1999-02-01;13,3;14,46;12,93;;;;128118;107974;24433;83541;20144
1999-03-01;13,34;14,51;12,96;;;;128233;108065;24378;83687;20168
1999-04-01;13,38;14,57;13,0;;;;128595;108358;24426;83932;20237
1999-05-01;13,42;14,66;13,02;;;;128810;108581;24445;84136;20229
1999-06-01;13,47;14,73;13,07;;;;129088;108816;24435;84381;20272
1999-07-01;13,51;14,77;13,11;;;;129423;109084;24474;84610;20339
1999-08-01;13,54;14,79;13,14;;;;129569;109194;24467;84727;20375
1999-09-01;13,6;14,86;13,2;;;;129781;109377;24485;84892;20404
1999-10-01;13,64;14,88;13,24;;;;130179;109722;24505;85217;20457
1999-11-01;13,66;14,9;13,26;;;;130467;109971;24561;85410;20496
1999-12-01;13,7;14,95;13,3;;;;130781;110241;24582;85659;20540
2000-01-01;13,75;15,01;13,34;;;;131009;110438;24628;85810;20571
2000-02-01;13,8;15,06;13,4;;;;131120;110521;24608;85913;20599
2000-03-01;13,85;15,1;13,45;;;;131604;110871;24705;86166;20733
2000-04-01;13,89;15,17;13,49;;;;131883;111081;24688;86393;20802
2000-05-01;13,94;15,17;13,55;;;;132106;110959;24647;86312;21147
2000-06-01;13,98;15,22;13,6;;;;132060;111173;24672;86501;20887
2000-07-01;14,02;15,27;13,63;;;;132228;111361;24718;86643;20867
2000-08-01;14,07;15,32;13,68;;;;132231;111394;24684;86710;20837
