date;Average Hourly Earnings of Production and Nonsupervisory Employees, Total Private;Average Hourly Earnings of Production and Nonsupervisory Employees, Goods-Producing;Average Hourly Earnings of Production and Nonsupervisory Employees, Private Service-Providing;Average Weekly Hours of All Employees, Total Private;Average Weekly Hours of All Employees, Goods-Producing;Average Weekly Hours of All Employees, Private Service-Providing;All Employees, Total Nonfarm;All Employees, Total Private;All Employees, Goods-Producing;All Employees, Private Service-Providing;All Employees, Government
1976-05-01;5,01;5,43;4,79;;;;79312;64341;21988;42353;14971
1976-06-01;5,03;5,45;4,81;;;;79376;64413;21982;42431;14963
1976-07-01;5,06;5,5;4,83;;;;79547;64554;21988;42566;14993
1976-08-01;5,11;5,55;4,88;;;;79704;64697;22038;42659;15007
1976-09-01;5,14;5,59;4,9;;;;79892;64921;22142;42779;14971
1976-10-01;5,16;5,6;4,92;;;;79911;64883;22037;42846;15028
1976-11-01;5,21;5,65;4,96;;;;80240;65167;22207;42960;15073
1976-12-01;5,23;5,69;4,98;;;;80448;65373;22261;43112;15075
1977-01-01;5,26;5,74;5,01;;;;80690;65634;22320;43314;15056
1977-02-01;5,3;5,77;5,04;;;;80988;65932;22478;43454;15056
1977-03-01;5,32;5,8;5,06;;;;81391;66341;22672;43669;15050
1977-04-01;5,36;5,85;5,1;;;;81728;66653;22807;43846;15075
1977-05-01;5,4;5,88;5,13;;;;82088;66956;22919;44037;15132
1977-06-01;5,42;5,93;5,15;;;;82488;67281;23046;44235;15207
1977-07-01;5,46;5,97;5,18;;;;82834;67535;23106;44429;15299
1977-08-01;5,48;5,99;5,21;;;;83075;67747;23124;44623;15328
1977-09-01;5,51;6,03;5,23;;;;83532;68129;23244;44885;15403
1977-10-01;5,55;6,08;5,27;;;;83800;68337;23279;45058;15463
1977-11-01;5,58;6,11;5,3;;;;84173;68658;23371;45287;15515
1977-12-01;5,61;6,13;5,33;;;;84410;68872;23371;45501;15538
1978-01-01;5,66;6,19;5,38;;;;84594;68983;23374;45609;15611
1978-02-01;5,69;6,23;5,4;;;;84948;69277;23453;45824;15671
1978-03-01;5,73;6,28;5,44;;;;85460;69729;23649;46080;15731
1978-04-01;5,79;6,35;5,48;;;;86162;70365;24008;46357;15797
1978-05-01;5,82;6,39;5,5;;;;86509;70675;24082;46593;15834
1978-06-01;5,86;6,45;5,54;;;;86950;71098;24238;46860;15852
1978-07-01;5,9;6,5;5,57;;;;87204;71303;24300;47003;15901
1978-08-01;5,92;6,54;5,59;;;;87483;71592;24374;47218;15891
1978-09-01;5,97;6,59;5,63;;;;87621;71802;24444;47358;15819
1978-10-01;6,02;6,65;5,68;;;;87956;72098;24548;47550;15858
1978-11-01;6,05;6,7;5,7;;;;88391;72497;24678;47819;15894
1978-12-01;6,1;6,75;5,74;;;;88671;72760;24758;48002;15911
1979-01-01;6,13;6,78;5,78;;;;88808;72871;24740;48131;15937
1979-02-01;6,18;6,84;5,81;;;;89055;73108;24784;48324;15947
1979-03-01;6,22;6,9;5,84;;;;89479;73523;24998;48525;15956
1979-04-01;6,21;6,9;5,85;;;;89417;73440;24958;48482;15977
1979-05-01;6,27;6,99;5,88;;;;89789;73799;25071;48728;15990
1979-06-01;6,32;7,03;5,93;;;;90108;74063;25161;48902;16045
1979-07-01;6,36;7,07;5,98;;;;90217;74067;25163;48904;16150
1979-08-01;6,4;7,11;6,01;;;;90300;74071;25059;49012;16229
1979-09-01;6,45;7,16;6,06;;;;90327;74199;25088;49111;16128
1979-10-01;6,46;7,19;6,08;;;;90481;74345;25038;49307;16136
1979-11-01;6,51;7,24;6,12;;;;90573;74400;24947;49453;16173
1979-12-01;6,56;7,3;6,17;;;;90672;74492;24970;49522;16180
1980-01-01;6,57;7,29;6,19;;;;90800;74599;24949;49650;16201
1980-02-01;6,63;7,38;6,23;;;;90883;74657;24874;49783;16226
1980-03-01;6,69;7,44;6,31;;;;90994;74698;24818;49880;16296
1980-04-01;6,72;7,48;6,33;;;;90849;74266;24507;49759;16583
1980-05-01;6,76;7,54;6,37;;;;90420;73966;24234;49732;16454
1980-06-01;6,82;7,63;6,41;;;;90101;73660;23968;49692;16441
1980-07-01;6,86;7,68;6,45;;;;89840;73422;23698;49724;16418
1980-08-01;6,91;7,76;6,49;;;;90099;73689;23860;49829;16410
1980-09-01;6,95;7,82;6,53;;;;90213;73883;23931;49952;16330
1980-10-01;7,02;7,9;6,58;;;;90490;74104;24012;50092;16386
1980-11-01;7,09;7,98;6,64;;;;90747;74356;24123;50233;16391
1980-12-01;7,13;8,04;6,67;;;;90943;74570;24182;50388;16373
1981-01-01;7,18;8,11;6,72;;;;91033;74673;24152;50521;16360
1981-02-01;7,23;8,14;6,78;;;;91105;74759;24118;50641;16346
1981-03-01;7,29;8,22;6,83;;;;91210;74918;24203;50715;16292
1981-04-01;7,33;8,27;6,86;;;;91283;75023;24151;50872;16260
1981-05-01;7,37;8,31;6,9;;;;91296;75098;24148;50950;16198
1981-06-01;7,41;8,38;6,94;;;;91490;75331;24290;51041;16159
1981-07-01;7,45;8,44;6,97;;;;91601;75426;24302;51124;16175
1981-08-01;7,52;8,51;7,03;;;;91565;75455;24258;51197;16110
1981-09-01;7,56;8,57;7,07;;;;91477;75446;24210;51236;16031
1981-10-01;7,59;8,63;7,08;;;;91380;75311;24051;51260;16069
1981-11-01;7,63;8,68;7,13;;;;91171;75093;23875;51218;16078
1981-12-01;7,64;8,7;7,14;;;;90895;74822;23656;51166;16073
1982-01-01;7,72;8,89;7,2;;;;90565;74524;23362;51162;16041
1982-02-01;7,72;8,82;7,21;;;;90563;74552;23361;51191;16011
1982-03-01;7,75;8,87;7,24;;;;90434;74410;23214;51196;16024
1982-04-01;7,77;8,89;7,26;;;;90150;74140;22996;51144;16010
1982-05-01;7,84;8,96;7,33;;;;90107;74104;22884;51220;16003
1982-06-01;7,85;8,99;7,34;;;;89865;73849;22643;51206;16016
1982-07-01;7,9;9,04;7,39;;;;89521;73631;22434;51197;15890
1982-08-01;7,94;9,07;7,44;;;;89363;73433;22268;51165;15930
1982-09-01;7,94;9,08;7,44;;;;89183;73260;22146;51114;15923
1982-10-01;7,96;9,1;7,48;;;;88907;72951;21879;51072;15956
1982-11-01;7,98;9,11;7,5;;;;88786;72809;21736;51073;15977
1982-12-01;8,01;9,16;7,52;;;;88771;72790;21688;51102;15981
1983-01-01;8,06;9,2;7,57;;;;88990;72967;21757;51210;16023
1983-02-01;8,09;9,25;7,6;;;;88917;72913;21676;51237;16004
1983-03-01;8,1;9,24;7,61;;;;89090;73085;21649;51436;16005
1983-04-01;8,13;9,25;7,65;;;;89364;73374;21729;51645;15990
1983-05-01;8,17;9,26;7,69;;;;89644;73639;21829;51810;16005
1983-06-01;8,19;9,28;7,71;;;;90021;74001;21949;52052;16020
1983-07-01;8,22;9,32;7,74;;;;90437;74426;22103;52323;16011
1983-08-01;8,2;9,33;7,69;;;;90129;74113;22207;51906;16016
1983-09-01;8,27;9,38;7,77;;;;91247;75205;22381;52824;16042
1983-10-01;8,31;9,41;7,83;;;;91520;75534;22546;52988;15986
1983-11-01;8,31;9,44;7,81;;;;91875;75878;22698;53180;15997
1983-12-01;8,33;9,47;7,82;;;;92230;76222;22803;53419;16008
1984-01-01;8,38;9,53;7,86;;;;92673;76663;22942;53721;16010
1984-02-01;8,38;9,54;7,84;;;;93157;77132;23146;53986;16025
1984-03-01;8,41;9,56;7,88;;;;93429;77399;23209;54190;16030
1984-04-01;8,45;9,59;7,93;;;;93792;77717;23305;54412;16075
1984-05-01;8,45;9,62;7,91;;;;94098;77995;23389;54606;16103
1984-06-01;8,48;9,66;7,95;;;;94479;78352;23497;54855;16127
1984-07-01;8,51;9,67;7,99;;;;94789;78617;23571;55046;16172
1984-08-01;8,51;9,7;7,98;;;;95032;78808;23608;55200;16224
1984-09-01;8,55;9,73;8,02;;;;95344;79089;23617;55472;16255
1984-10-01;8,55;9,75;8,01;;;;95629;79355;23626;55729;16274
1984-11-01;8,57;9,79;8,03;;;;95982;79671;23639;56032;16311
1984-12-01;8,61;9,83;8,07;;;;96107;79825;23673;56152;16282
1985-01-01;8,61;9,88;8,05;;;;96372;80036;23672;56364;16336
1985-02-01;8,64;9,92;8,09;;;;96503;80154;23621;56533;16349
1985-03-01;8,66;9,93;8,11;;;;96842;80447;23661;56786;16395
1985-04-01;8,69;9,97;8,12;;;;97038;80608;23644;56964;16430
1985-05-01;8,7;9,98;8,14;;;;97312;80838;23632;57206;16474
1985-06-01;8,74;10,0;8,19;;;;97459;80961;23592;57369;16498
1985-07-01;8,74;10,03;8,18;;;;97648;81028;23549;57479;16620
1985-08-01;8,76;10,04;8,21;;;;97840;81221;23546;57675;16619
1985-09-01;8,8;10,06;8,25;;;;98045;81407;23528;57879;16638
1985-10-01;8,79;10,07;8,24;;;;98233;81579;23529;58050;16654
1985-11-01;8,81;10,09;8,27;;;;98443;81769;23520;58249;16674
1985-12-01;8,87;10,16;8,32;;;;98609;81915;23518;58397;16694
1986-01-01;8,85;10,13;8,3;;;;98732;82017;23530;58487;16715
1986-02-01;8,88;10,14;8,35;;;;98847;82088;23485;58603;16759
1986-03-01;8,89;10,15;8,37;;;;98934;82179;23428;58751;16755
1986-04-01;8,88;10,16;8,35;;;;99121;82356;23427;58929;16765
1986-05-01;8,9;10,18;8,36;;;;99248;82458;23349;59109;16790
1986-06-01;8,92;10,18;8,39;;;;99155;82376;23263;59113;16779
1986-07-01;8,91;10,2;8,38;;;;99473;82694;23235;59459;16779
1986-08-01;8,94;10,22;8,4;;;;99588;82788;23225;59563;16800
1986-09-01;8,94;10,22;8,41;;;;99934;83024;23216;59808;16910
1986-10-01;8,96;10,25;8,43;;;;100121;83152;23208;59944;16969
1986-11-01;9,01;10,28;8,49;;;;100308;83303;23204;60099;17005
1986-12-01;9,01;10,3;8,48;;;;100509;83488;23237;60251;17021
1987-01-01;9,02;10,29;8,5;;;;100678;83633;23232;60401;17045
1987-02-01;9,05;10,29;8,53;;;;100919;83883;23296;60587;17036
1987-03-01;9,07;10,33;8,55;;;;101164;84100;23307;60793;17064
1987-04-01;9,08;10,33;8,56;;;;101499;84390;23342;61048;17109
1987-05-01;9,11;10,36;8,6;;;;101728;84616;23390;61226;17112
1987-06-01;9,11;10,38;8,6;;;;101900;84776;23390;61386;17124
1987-07-01;9,12;10,36;8,62;;;;102247;85087;23455;61632;17160
1987-08-01;9,18;10,41;8,68;;;;102420;85248;23506;61742;17172
1987-09-01;9,19;10,44;8,68;;;;102647;85512;23566;61946;17135
1987-10-01;9,22;10,45;8,71;;;;103138;85869;23655;62214;17269
1987-11-01;9,27;10,5;8,77;;;;103372;86073;23711;62362;17299
1987-12-01;9,28;10,49;8,77;;;;103661;86314;23772;62542;17347
1988-01-01;9,29;10,55;8,78;;;;103753;86388;23668;62720;17365
1988-02-01;9,29;10,53;8,78;;;;104214;86825;23769;63056;17389
1988-03-01;9,31;10,56;8,8;;;;104489;87042;23824;63218;17447
1988-04-01;9,36;10,62;8,85;;;;104732;87280;23880;63400;17452
1988-05-01;9,41;10,65;8,9;;;;104962;87481;23896;63585;17481
1988-06-01;9,41;10,68;8,9;;;;105326;87811;23951;63860;17515
1988-07-01;9,45;10,71;8,93;;;;105550;88056;23966;64090;17494
1988-08-01;9,46;10,72;8,96;;;;105674;88130;23926;64204;17544
1988-09-01;9,51;10,76;9,0;;;;106013;88379;23942;64437;17634
1988-10-01;9,56;10,81;9,07;;;;106276;88606;23987;64619;17670
1988-11-01;9,58;10,83;9,07;;;;106617;88871;24030;64841;17746
1988-12-01;9,6;10,85;9,1;;;;106898;89162;24054;65108;17736
1989-01-01;9,65;10,88;9,16;;;;107161;89387;24097;65290;17774
1989-02-01;9,68;10,91;9,19;;;;107427;89615;24080;65535;17812
1989-03-01;9,7;10,95;9,21;;;;107621;89799;24069;65730;17822
1989-04-01;9,75;10,96;9,27;;;;107791;89951;24100;65851;17840
1989-05-01;9,74;10,98;9,25;;;;107913;90037;24089;65948;17876
1989-06-01;9,77;11,0;9,29;;;;108027;90115;24052;66063;17912
1989-07-01;9,83;11,06;9,35;;;;108069;90164;24027;66137;17905
1989-08-01;9,83;11,08;9,34;;;;108120;90131;24048;66083;17989
1989-09-01;9,87;11,1;9,39;;;;108369;90342;24000;66342;18027
1989-10-01;9,92;11,13;9,45;;;;108476;90443;23997;66446;18033
1989-11-01;9,93;11,17;9,45;;;;108752;90695;24009;66686;18057
1989-12-01;9,98;11,21;9,5;;;;108836;90761;23949;66812;18075
1990-01-01;10,02;11,26;9,53;;;;109189;91038;23981;67057;18151
1990-02-01;10,07;11,35;9,58;;;;109432;91255;24070;67185;18177
1990-03-01;10,11;11,4;9,61;;;;109637;91343;24023;67320;18294
1990-04-01;10,12;11,38;9,64;;;;109671;91294;23966;67328;18377
1990-05-01;10,16;11,42;9,67;;;;109834;91235;23888;67347;18599
1990-06-01;10,2;11,47;9,72;;;;109857;91301;23849;67452;18556
1990-07-01;10,22;11,49;9,73;;;;109822;91262;23746;67516;18560
1990-08-01;10,24;11,48;9,78;;;;109610;91153;23647;67506;18457
1990-09-01;10,28;11,54;9,8;;;;109520;91083;23571;67512;18437
1990-10-01;10,3;11,57;9,83;;;;109374;90931;23474;67457;18443
1990-11-01;10,32;11,57;9,85;;;;109220;90770;23283;67487;18450
1990-12-01;10,34;11,61;9,88;;;;109168;90700;23202;67498;18468
1991-01-01;10,37;11,66;9,91;;;;109051;90577;23061;67516;18474
1991-02-01;10,39;11,65;9,93;;;;108731;90249;22900;67349;18482
1991-03-01;10,41;11,66;9,97;;;;108569;90081;22779;67302;18488
1991-04-01;10,46;11,72;10,01;;;;108352;89867;22687;67180;18485
1991-05-01;10,49;11,73;10,05;;;;108250;89752;22618;67134;18498
1991-06-01;10,51;11,76;10,06;;;;108338;89777;22572;67205;18561
1991-07-01;10,54;11,79;10,09;;;;108290;89692;22507;67185;18598
1991-08-01;10,56;11,79;10,12;;;;108302;89735;22492;67243;18567
1991-09-01;10,58;11,82;10,13;;;;108333;89790;22466;67324;18543
1991-10-01;10,59;11,84;10,14;;;;108362;89769;22419;67350;18593
1991-11-01;10,61;11,85;10,17;;;;108300;89673;22316;67357;18627
1991-12-01;10,64;11,88;10,2;;;;108330;89689;22273;67416;18641
1992-01-01;10,65;11,87;10,21;;;;108367;89679;22213;67466;18688
1992-02-01;10,67;11,89;10,23;;;;108312;89623;22142;67481;18689
1992-03-01;10,69;11,92;10,25;;;;108361;89646;22127;67519;18715
1992-04-01;10,72;11,96;10,28;;;;108515;89776;22132;67644;18739
1992-05-01;10,74;11,97;10,31;;;;108648;89895;22135;67760;18753
1992-06-01;10,77;12,01;10,33;;;;108717;89955;22098;67857;18762
1992-07-01;10,78;12,0;10,36;;;;108799;89982;22074;67908;18817
1992-08-01;10,81;12,05;10,38;;;;108923;90040;22044;67996;18883
1992-09-01;10,82;12,02;10,41;;;;108954;90125;22020;68105;18829
1992-10-01;10,85;12,06;10,43;;;;109135;90307;22028;68279;18828
1992-11-01;10,86;12,08;10,44;;;;109280;90439;22042;68397;18841
1992-12-01;10,9;12,09;10,48;;;;109500;90622;22076;68546;18878
1993-01-01;10,93;12,12;10,52;;;;109795;90894;22133;68761;18901
1993-02-01;10,95;12,15;10,53;;;;110044;91142;22189;68953;18902
1993-03-01;10,99;12,18;10,58;;;;109992;91085;22142;68943;18907
1993-04-01;10,99;12,22;10,56;;;;110295;91357;22131;69226;18938
1993-05-01;11,01;12,25;10,58;;;;110570;91619;22189;69430;18951
1993-06-01;11,03;12,26;10,61;;;;110751;91782;22166;69616;18969
1993-07-01;11,05;12,28;10,62;;;;111060;92000;22183;69817;19060
1993-08-01;11,07;12,3;10,64;;;;111209;92181;22203;69978;19028
1993-09-01;11,09;12,33;10,66;;;;111454;92413;22252;70161;19041
1993-10-01;11,13;12,36;10,7;;;;111734;92692;22306;70386;19042
1993-11-01;11,15;12,4;10,72;;;;111990;92922;22347;70575;19068
1993-12-01;11,18;12,45;10,74;;;;112324;93215;22413;70802;19109
1994-01-01;11,21;12,47;10,77;;;;112598;93451;22465;70986;19147
1994-02-01;11,25;12,54;10,81;;;;112779;93629;22451;71178;19150
1994-03-01;11,25;12,52;10,81;;;;113240;94050;22550;71500;19190
1994-04-01;11,27;12,54;10,82;;;;113587;94364;22641;71723;19223
1994-05-01;11,29;12,58;10,84;;;;113923;94659;22704;71955;19264
1994-06-01;11,31;12,59;10,87;;;;114237;94963;22764;72199;19274
1994-07-01;11,34;12,63;10,89;;;;114607;95306;22807;72499;19301
1994-08-01;11,36;12,65;10,91;;;;114899;95593;22876;72717;19306
1994-09-01;11,38;12,69;10,93;;;;115253;95916;22948;72968;19337
1994-10-01;11,42;12,73;10,97;;;;115458;96114;22974;73140;19344
1994-11-01;11,45;12,76;10,99;;;;115873;96506;23050;73456;19367
1994-12-01;11,47;12,77;11,02;;;;116176;96788;23095;73693;19388
1995-01-01;11,48;12,78;11,03;;;;116504;97107;23147;73960;19397
1995-02-01;11,52;12,83;11,07;;;;116693;97286;23103;74183;19407
1995-03-01;11,55;12,85;11,1;;;;116907;97480;23151;74329;19427
1995-04-01;11,56;12,87;11,11;;;;117065;97631;23174;74457;19434
1995-05-01;11,6;12,89;11,16;;;;117050;97632;23120;74512;19418
1995-06-01;11,63;12,94;11,18;;;;117286;97841;23136;74705;19445
1995-07-01;11,67;13,01;11,21;;;;117377;97940;23119;74821;19437
1995-08-01;11,69;13,01;11,24;;;;117639;98210;23164;75046;19429
1995-09-01;11,73;13,03;11,28;;;;117880;98450;23208;75242;19430
1995-10-01;11,75;13,06;11,3;;;;118029;98565;23206;75359;19464
1995-11-01;11,78;13,08;11,33;;;;118168;98705;23201;75504;19463
1995-12-01;11,81;13,09;11,38;;;;118325;98859;23209;75650;19466
1996-01-01;11,86;13,23;11,41;;;;118318;98868;23196;75672;19450
1996-02-01;11,87;13,18;11,42;;;;118734;99249;23280;75969;19485
1996-03-01;11,89;13,15;11,47;;;;118990;99458;23276;76182;19532
1996-04-01;11,95;13,3;11,5;;;;119156;99641;23316;76325;19515
1996-05-01;11,97;13,31;11,52;;;;119489;99960;23358;76602;19529
1996-06-01;12,03;13,38;11,57;;;;119770;100242;23399;76843;19528
1996-07-01;12,05;13,42;11,6;;;;120016;100469;23418;77051;19547
1996-08-01;12,09;13,45;11,64;;;;120201;100697;23479;77218;19504
