date;Industrial Production: Total Index;Industrial Production: Manufacturing;Industrial Production: Mining: Mining;Industrial Production: Utilities: Electric and Gas Utilities;Capacity Utilization: Total Index;Capacity Utilization: Manufacturing;Capacity Utilization: Mining;Capacity Utilization: Utilities: Electric and Gas Utilities
1977-04-01;47,188;45,345;87,3244;53,2529;83,3995;82,3714;91,3191;85,626
1977-05-01;47,552;45,7034;87,2962;54,1003;83,8236;82,7928;91,0358;86,8259
1977-06-01;47,9155;46,1098;86,647;54,8187;84,239;83,2947;90,0907;87,8168
1977-07-01;47,9773;46,1059;87,0443;55,4779;84,12;83,0529;90,2241;88,7119
1977-08-01;48,0266;46,3592;85,0379;54,5694;83,9765;83,2723;87,8651;87,1016
1977-09-01;48,2179;46,3828;87,9693;54,7737;84,0778;83,0767;90,6027;87,2689
1977-10-01;48,295;46,4781;87,876;54,7819;83,9767;83,0073;90,2169;87,1219
1977-11-01;48,3823;46,5942;88,5543;54,0574;83,8911;82,9728;90,6261;85,81
1977-12-01;48,4679;47,1057;81,0635;54,8638;83,8023;83,6394;82,7068;86,9276
1978-01-01;47,7604;46,3903;79,232;54,944;82,3473;82,13;80,6038;86,8912
1978-02-01;48,0271;46,585;79,9767;55,8239;82,5737;82,2327;81,1421;88,1153
1978-03-01;48,9459;47,4109;84,0004;55,7017;83,9168;83,4436;85,0162;87,7548
1978-04-01;49,9198;48,1315;92,2118;54,3139;85,3482;84,4617;93,1258;85,4057
1978-05-01;50,1602;48,3596;91,7622;55,3583;85,5208;84,609;92,4951;86,8827
1978-06-01;50,4826;48,7053;91,5596;55,931;85,8308;84,9571;92,1361;87,6154
1978-07-01;50,4464;48,6605;92,4632;55,2305;85,5323;84,6223;92,9103;86,3571
1978-08-01;50,6531;48,9056;91,5076;55,9967;85,6465;84,7903;91,8326;87,3957
1978-09-01;50,7724;49,1153;89,9404;56,449;85,6125;84,8932;90,1565;87,9444
1978-10-01;51,1649;49,4619;92,11;56,0567;86,0371;85,2284;92,2351;87,18
1978-11-01;51,5582;49,9207;91,9481;56,254;86,4614;85,7531;91,9847;87,3358
1978-12-01;51,8153;50,2777;91,268;56,1696;86,6562;86,0992;91,2228;87,0573
1979-01-01;51,5359;49,9283;90,2685;57,3184;85,9566;85,2375;90,147;88,6898
1979-02-01;51,7994;50,0975;90,28;59,117;86,1651;85,2646;90,0811;91,3212
1979-03-01;51,9544;50,3402;90,5506;58,1138;86,1935;85,4168;90,2719;89,6232
1979-04-01;51,334;49,486;91,729;58,5805;84,9421;83,7158;91,3642;90,1941
1979-05-01;51,7922;50,1838;91,2001;57,0729;85,4801;84,6453;90,7513;87,7259
1979-06-01;51,7961;50,2422;91,3203;56,2648;85,2706;84,498;90,7795;86,3354
1979-07-01;51,7124;50,2902;90,4305;55,2115;84,9248;84,3417;89,7998;84,5705
1979-08-01;51,3766;49,6698;92,4672;56,0765;84,1753;83,0772;91,7202;85,7394
1979-09-01;51,3741;49,7219;92,1632;55,6595;83,9806;82,9489;91,3116;84,9409
1979-10-01;51,7268;49,9763;93,45;56,4802;84,3728;83,1656;92,4732;86,0233
1979-11-01;51,6422;49,8192;93,7515;56,8627;84,0579;82,7055;92,653;86,428
1979-12-01;51,6763;49,9522;93,6314;55,8256;83,9436;82,7348;92,412;84,6709
1980-01-01;51,9545;50,2107;95,4169;54,9504;84,2311;82,9772;94,0458;83,1596
1980-02-01;51,9779;50,1613;94,3365;56,9801;84,1083;82,7141;92,849;86,0345
1980-03-01;51,7565;49,732;95,1637;58,088;83,5935;81,8295;93,5259;87,501
1980-04-01;50,7369;48,7288;94,0642;56,4219;81,7958;80,0073;92,3055;84,787
1980-05-01;49,49;47,2921;94,0292;55,5371;79,638;77,4802;92,1251;83,2525
1980-06-01;48,8505;46,5443;93,6773;55,5452;78,4608;76,0856;91,6268;83,0567
1980-07-01;48,4997;46,0807;92,0676;57,6669;77,7482;75,1559;89,894;86,0128
1980-08-01;48,6554;46,3998;90,3891;57,9643;77,8447;75,4978;88,0905;86,2393
1980-09-01;49,4677;47,1786;92,0736;58,7083;78,9834;76,5776;89,5514;87,1282
1980-10-01;50,0947;48,0203;91,7968;58,2309;79,8159;77,7467;89,0874;86,2055
1980-11-01;50,9311;48,8709;93,4999;58,4645;80,9704;78,9169;90,5252;86,3391
1980-12-01;51,2644;49,0695;95,4613;58,7288;81,3163;79,0257;92,1895;86,5206
1981-01-01;50,9453;48,8634;94,3111;57,8917;80,6229;78,479;90,8325;85,0862
1981-02-01;50,7332;48,6115;95,4443;56,4213;80,0944;77,8583;91,6552;82,7335
1981-03-01;50,9922;48,7674;96,3081;57,3485;80,3057;77,8895;92,1988;83,9037
1981-04-01;50,778;49,0377;91,2363;57,3893;79,7704;78,1017;87,0641;83,7803
1981-05-01;51,0667;49,2729;91,7787;58,2102;80,0226;78,2566;87,2905;84,7984
1981-06-01;51,3355;49,0509;95,7324;59,6578;80,2399;77,6875;90,7388;86,7279
1981-07-01;51,6646;49,1412;98,7749;59,5066;80,5506;77,6182;93,2999;86,3367
1981-08-01;51,6049;49,1362;99,1055;58,2921;80,2571;77,4033;93,2936;84,4128
1981-09-01;51,3527;48,9586;98,4975;57,4647;79,6687;76,9229;92,4132;83,0607
1981-10-01;50,9581;48,4641;97,856;58,1774;78,866;75,953;91,5175;83,9401
1981-11-01;50,3634;47,8509;96,9918;57,664;77,7627;74,8075;90,4332;83,055
1981-12-01;49,8181;47,0567;96,9316;58,7887;76,7466;73,3917;90,1202;84,5334
